id;bpmProcessId;caseGroupId;caseTypeId;storeId;createDate;createdBy;modifyDate;modifiedBy;endDate;dueDate;status;parameter1;parameter2;parameter3;parameter4;parameter5;parameter6;parameter7;parameter8;parameter9;parameter10;parameter11;parameter12;parameter13;parameter14;parameter15
1;10202;1;1;1;01-01-2013;1;01-02-2013;2;13-06-2013;18-06-2013;A;Kowalski;Nowak;OC;OC;null;null;null;null;null;null;null;null;null;null;null
2;10198;1;2;2;25-01-2013;2;17-02-2013;1;13-04-2014;12-06-2014;A;Kowalski2;Nowak2;NW;NW;null;null;null;null;null;null;null;null;null;null;null
3;10197;1;2;2;01-01-2013;1;01-01-2013;1;13-06-2013;18-06-2013;A;Kowalski3;Nowak3;OC;NW;null;null;null;null;null;null;null;null;null;null;null
4;10095;1;3;3;01-01-2013;1;01-02-2013;2;13-06-2013;18-06-2013;A;Kowalski;null;null;null;null;null;null;null;null;null;null;null;null;null;null
5;10200;1;3;3;01-01-2013;1;01-02-2013;2;13-06-2013;18-06-2013;A;Kowalski2;null;null;null;null;null;null;null;null;null;null;null;null;null;null
6;10204;1;3;3;01-01-2013;1;01-02-2013;2;13-06-2013;18-06-2013;A;Kowalski3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
7;10201;1;4;1;01-01-2013;1;01-02-2013;2;13-06-2013;18-06-2013;A;Kowalski;Zam1;Zam21;null;null;null;null;null;null;null;null;null;null;null;null
8;10199;1;4;1;01-01-2013;1;01-02-2013;2;13-06-2013;18-06-2013;A;Kowalski;Zam2;null;null;null;null;null;null;null;null;null;null;null;null;null
9;10205;2;4;1;01-01-2013;1;01-02-2013;2;13-06-2013;18-06-2013;A;Kowalski;Zam3;null;null;null;null;null;null;null;null;null;null;null;null;null
10;10203;1;5;5;01-01-2013;1;01-02-2013;2;13-06-2013;18-06-2013;A;Zam1;null;null;null;null;null;null;null;null;null;null;null;null;null;null
11;9311;1;5;5;01-01-2013;1;01-02-2013;2;13-06-2013;18-06-2013;A;Zam2;null;null;null;null;null;null;null;null;null;null;null;null;null;null
12;9255;1;5;5;01-01-2013;1;01-02-2013;2;13-06-2013;18-06-2013;A;Zam3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13;9317;7;2;2;01-01-2013;1;01-02-2013;2;13-06-2013;18-06-2013;A;Kowalski4;Nowak1;null;null;null;null;null;null;null;null;null;null;null;null;null
14;9315;1;2;2;01-01-2013;1;01-02-2013;2;13-06-2013;18-06-2013;A;Kowalski4;Nowak2;null;null;null;null;null;null;null;null;null;null;null;null;null
15;9319;1;6;4;01-01-2013;1;01-02-2013;2;13-06-2013;18-06-2013;A;5.01;null;null;null;null;null;null;null;null;null;null;null;null;null;null
16;9313;1;6;4;01-01-2013;1;01-02-2013;2;13-06-2013;18-06-2013;A;7.02;null;null;null;null;null;null;null;null;null;null;null;null;null;null
17;null;1;6;4;01-01-2013;1;01-02-2013;2;13-06-2013;18-06-2013;A;12.3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
18;null;1;6;4;01-01-2013;1;01-02-2013;2;13-06-2013;18-06-2013;A;12.3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
300;10200;1;1;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Nowak;OC;OC;null;null;null;null;null;null;null;null;null;null;null
301;10201;1;2;2;01-01-2014;2;13-02-2014;1;13-04-2014;12-06-2014;A;Kowalski2;Nowak2;NW;NW;null;null;null;null;null;null;null;null;null;null;null
302;10202;1;2;2;01-01-2014;1;13-02-2014;1;13-04-2014;12-06-2014;A;Kowalski3;Nowak3;OC;NW;null;null;null;null;null;null;null;null;null;null;null
303;10203;1;3;3;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;null;null;null;null;null;null;null;null;null;null;null;null;null;null
304;10204;1;3;3;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski2;null;null;null;null;null;null;null;null;null;null;null;null;null;null
305;10205;1;3;3;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
306;10206;1;4;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Zam1;Zam21;null;null;null;null;null;null;null;null;null;null;null;null
307;10207;1;4;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Zam2;null;null;null;null;null;null;null;null;null;null;null;null;null
308;10208;2;4;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Zam3;null;null;null;null;null;null;null;null;null;null;null;null;null
309;10209;1;5;5;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Zam1;null;null;null;null;null;null;null;null;null;null;null;null;null;null
310;10210;1;5;5;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Zam2;null;null;null;null;null;null;null;null;null;null;null;null;null;null
311;10211;1;5;5;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Zam3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
312;10212;7;2;2;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski4;Nowak1;null;null;null;null;null;null;null;null;null;null;null;null;null
313;10213;1;2;2;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski4;Nowak2;null;null;null;null;null;null;null;null;null;null;null;null;null
314;10214;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;5.01;null;null;null;null;null;null;null;null;null;null;null;null;null;null
315;10215;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;7.02;null;null;null;null;null;null;null;null;null;null;null;null;null;null
316;10216;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;12.3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
317;10217;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;12.3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
318;10218;1;1;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Nowak;OC;OC;null;null;null;null;null;null;null;null;null;null;null
319;10219;1;2;2;01-01-2014;2;13-02-2014;1;13-04-2014;12-06-2014;A;Kowalski2;Nowak2;NW;NW;null;null;null;null;null;null;null;null;null;null;null
320;10220;1;2;2;01-01-2014;1;13-02-2014;1;13-04-2014;12-06-2014;A;Kowalski3;Nowak3;OC;NW;null;null;null;null;null;null;null;null;null;null;null
321;10221;1;3;3;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;null;null;null;null;null;null;null;null;null;null;null;null;null;null
322;10222;1;3;3;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski2;null;null;null;null;null;null;null;null;null;null;null;null;null;null
323;10223;1;3;3;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
324;10224;1;4;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Zam1;Zam21;null;null;null;null;null;null;null;null;null;null;null;null
325;10225;1;4;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Zam2;null;null;null;null;null;null;null;null;null;null;null;null;null
326;10226;2;4;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Zam3;null;null;null;null;null;null;null;null;null;null;null;null;null
327;10227;1;5;5;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Zam1;null;null;null;null;null;null;null;null;null;null;null;null;null;null
328;10228;1;5;5;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Zam2;null;null;null;null;null;null;null;null;null;null;null;null;null;null
329;10229;1;5;5;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Zam3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
